question_id,question,student_id,ai_score,most_likely_source,confidence
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,kumpatlasowmya_325336_33398562,0.08199999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,adapasriharsha_327159_33404648,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,dudiyamini_357753_33405456,0.07937499999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,dadiprakash_339616_33406871,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,voorukondaudaykiran_328650_33395844,0.09089285714285714,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,leinauerkyle_126895_33392968,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,chalamalasettyakhil_340566_33401558,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,greenbrittany_282758_33389142,0.13713530219780218,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,mohtavarun_LATE_330650_33413652,0.09869132653061223,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,gudigandlakalyankumar_372174_33397895,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,mokanpallyjayanthreddy_334140_33406193,0.11178571428571427,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,gudibandacharitha_260959_33406205,0.09857142857142857,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,gundahamsinireddy_321620_33405960,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,simhadripavan_LATE_338481_33411010,0.10358441558441558,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,narimallaelisha_271522_33369538,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,angitisanthosh_LATE_290371_33420645,0.13448660714285715,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,palavaiabhinaya_366697_33407293,0.06999999999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,claudegenerated_35,0.09437499999999999,Human-written,High
1,Explain why it is crucial for an IT maintenance team to align its structure with an organization's o...,uppuvelankanisriharshitha_339730_33402557,0.09579220779220779,Human-written,High
